,x-acc,y-acc,z-acc,x-mag,y-mag,z-mag,lat,lon,speed
37,-0.6596072,-0.72714573,-1.8372415,2.8680758,-0.9575054,0.5834742,0.01234111,0.0,
38,-1.5405462,-0.06674817,-0.40231338,2.8680758,-0.9575054,0.5834742,0.01234111,0.0,
39,-2.1572034,0.39553016,0.6021375,2.7002504,-0.92032075,0.5834742,0.01234111,0.0,
40,-2.1572034,0.39553016,0.6021375,2.1688025,-0.8025729,0.5834742,0.01234111,0.0,
41,-1.1481283,-0.63108784,0.41285026,2.1688025,-0.8025729,0.5834742,0.01234111,0.0,
42,1.0942613,-2.9124613,-0.0077874,2.1688025,-0.8025729,0.5834742,0.01234111,0.0,
43,1.5427399,-3.368736,-0.091913804,1.5694251,-0.2123537,0.39850092,0.01234111,0.0,
44,1.4673703,-2.0599382,0.3605032,1.3821198,-0.027910357,0.34069583,0.01234111,0.0,
45,1.3303356,0.31969455,1.1830832,1.3821198,-0.027910357,0.34069583,0.01234111,0.0,
46,1.2344112,1.9854374,1.7588953,1.3821198,-0.027910357,0.34069583,0.01234111,0.0,
47,1.2344112,1.9854374,1.7588953,1.3821198,-0.027910357,0.34069583,0.01234111,0.0,
48,1.1698773,0.65642565,1.5652055,1.3821198,-0.027910357,0.34069583,0.01234111,0.0,
49,1.0981729,-0.8202541,1.3499922,1.3821198,-0.027910357,0.34069583,0.01234111,0.0,
50,1.0802466,-1.189424,1.2961888,0.4206187,0.7467522,-0.87319607,0.01234111,0.0,
51,0.84307057,-1.5551827,0.79789644,0.4206187,0.7467522,-0.87319607,0.01234111,0.0,
52,0.5466014,-2.012381,0.17502813,0.4206187,0.7467522,-0.87319607,0.01234111,0.0,
53,0.30942547,-2.3781397,-0.32326987,0.03213357,0.88446945,-0.9811009,0.01234111,0.0,
54,0.5737063,-2.165869,-0.8202578,-0.45347318,1.0566171,-1.1159744,0.01234111,0.0,
55,1.0141762,-1.8120847,-1.6485785,-0.45347318,1.0566171,-1.1159744,0.01234111,0.0,
56,1.4546454,-1.4583002,-2.4768991,-0.45347318,1.0566171,-1.1159744,0.01234111,0.0,
57,1.5427399,-0.86051506,-2.3886175,-0.45347318,1.0566171,-1.1159744,0.01234111,0.0,
58,1.5427399,0.19354141,-1.8807329,-0.45347318,1.0566171,-1.1159744,0.01234111,0.0,
59,1.5427399,1.2475978,-1.3728427,-0.45347318,1.0566171,-1.1159744,0.01234111,0.0,
60,1.5427399,1.9854374,-1.0173211,-1.3275651,1.3664823,-0.87319607,0.01234111,0.0,
61,1.9455559,1.0637033,-1.0173211,-1.3275651,1.3664823,-0.87319607,0.01234111,0.0,
62,2.3931298,0.03955461,-1.0173211,-1.3275651,1.3664823,-0.87319607,0.01234111,0.0,
63,2.8407035,-0.9845943,-1.0173211,-1.3275651,1.3664823,-0.87319607,0.01234111,0.0,
64,2.9302182,-1.189424,-1.0173211,-1.6772017,1.8312798,-1.1159744,0.01234111,0.0,
65,2.9302182,-1.189424,-1.0173211,-1.6772017,1.8312798,-1.1159744,0.01234111,0.0,
66,2.9302182,-1.189424,-1.0173211,-1.6772017,1.8312798,-1.1159744,0.01234111,0.0,
67,-0.76972514,-0.1988277,-1.4800221,-1.6842507,1.856268,-1.1159744,0.01234111,0.0,
68,-0.76972514,-0.1988277,-1.4800221,-1.7124476,1.9562262,-1.1159744,0.01234111,0.0,
69,-0.76972514,-0.1988277,-1.4800221,-1.740644,2.056182,-1.1159744,0.01234111,0.0,
70,-0.76972514,-0.1988277,-1.4800221,-1.764611,2.1411448,-1.1159744,0.01234111,0.0,
71,-0.30723175,0.98988783,0.8334879,-1.7224135,2.1037474,-1.3503807,0.01234111,0.0,
72,-0.30723175,0.98988783,0.8334879,-1.662131,2.0503213,-1.685253,0.01234111,0.0,
73,-0.30723175,0.98988783,0.8334879,-1.6018491,1.9968979,-2.0201106,0.01234111,0.0,
74,1.2344112,1.1880071,0.6021375,-1.5897926,1.9862123,-2.087088,0.01234111,0.0,
75,1.2344112,1.1880071,0.6021375,-1.5897926,1.9862123,-2.087088,0.01234111,0.0,
76,1.2344112,1.1880071,0.6021375,-1.5897926,1.9862123,-2.087088,0.01234111,0.0,
77,0.70076525,0.63936937,1.0826341,-1.5897926,1.9862123,-2.087088,0.01234111,0.0,
78,0.4635893,0.39553016,1.2961888,-1.5897926,1.8926679,-2.160378,0.01234111,0.0,
79,0.4635893,0.39553016,1.2961888,-1.5897926,1.775738,-2.2519977,0.01234111,0.0,
80,0.4635893,0.39553016,1.2961888,-1.5897926,1.6763473,-2.3298664,0.01234111,0.0,
81,-0.923889,1.3861264,-0.32326987,-1.5583253,1.6019803,-2.3298664,0.01234111,0.0,
82,-0.923889,1.3861264,-0.32326987,-1.4534345,1.3540874,-2.3298664,0.01234111,0.0,
83,-0.923889,1.3861264,-0.32326987,-1.348543,1.1061968,-2.3298664,0.01234111,0.0,
84,-0.923889,1.8091693,0.32996085,-1.3275651,1.0566171,-2.3298664,0.01234111,0.0,
85,-0.923889,1.9854374,0.6021375,-1.3275651,1.0566171,-2.3298664,0.01234111,0.0,
86,-0.923889,1.9854374,0.6021375,-1.3275651,1.0566171,-2.3298664,0.01234111,0.0,
87,-0.5016132,1.3632996,0.7831931,-1.3275651,1.0566171,-2.3298664,0.01234111,0.0,
88,0.1552607,0.39553016,1.0648384,-1.3156459,0.95098054,-2.2305412,0.01234111,0.0,
89,0.1552607,0.39553016,1.0648384,-1.275914,0.5988623,-1.8994919,0.01234111,0.0,
90,0.1552607,0.39553016,1.0648384,-1.2401558,0.28195465,-1.6015313,0.01234111,0.0,
91,-0.50544333,1.2446128,0.866538,-1.2401558,0.28195465,-1.6015313,0.01234111,0.0,
92,-0.61556035,1.3861264,0.8334879,-1.203913,0.28195465,-1.8028636,0.01234111,0.0,
93,-0.61556035,1.3861264,0.8334879,-1.1612747,0.28195465,-2.0397148,0.01234111,0.0,
94,-0.61556035,0.6927089,0.48646227,-1.1527467,0.28195465,-2.087088,0.01234111,0.0,
95,-0.61556035,-0.00070840935,0.13943663,-1.1527467,0.28195465,-2.087088,0.01234111,0.0,
96,-0.61556035,-0.00070840935,0.13943663,-1.1527467,0.28195465,-2.087088,0.01234111,0.0,
97,-0.48942596,-0.00070840935,-0.112948224,-1.1527467,0.28195465,-2.087088,0.01234111,0.0,
98,-0.20912774,-0.00070840935,-0.67379844,-1.1527467,0.28195465,-2.087088,0.01234111,0.0,
99,-0.15306792,-0.00070840935,-0.78597075,-0.90594405,0.13613568,-2.087088,0.01234111,0.0,
100,-0.15306792,-0.00070840935,-0.78597075,-0.62829155,-0.027910357,-2.087088,0.01234111,0.0,
101,-0.15306792,0.80455065,-0.38297138,-0.62829155,-0.027910357,-2.087088,0.01234111,0.0,
102,-0.15306792,1.3861264,-0.091913804,-0.6091708,0.0059811287,-1.9808725,0.01234111,0.0,
103,-0.15306792,1.3861264,-0.091913804,-0.55454004,0.102813944,-1.6773995,0.01234111,0.0,
104,-0.20151903,1.0125302,-0.019207045,-0.54088235,0.12702215,-1.6015313,0.01234111,0.0,
105,-0.28961357,0.33326417,0.1129932,-0.54088235,0.12702215,-1.6015313,0.01234111,0.0,
106,-0.30723175,0.19741088,0.13943663,-0.54088235,0.12702215,-1.6015313,0.01234111,0.0,
107,-0.07231511,0.0841999,0.13943663,-0.54088235,0.12702215,-1.6015313,0.01234111,0.0,
108,0.5149779,-0.1988277,0.13943663,-0.54088235,0.12702215,-1.6015313,0.01234111,0.0,
109,0.9260827,-0.39694697,0.13943663,-0.49717778,0.2044884,-1.7229204,0.01234111,0.0,
110,0.9260827,-0.39694697,0.13943663,-0.36606398,0.43688717,-2.087088,0.01234111,0.0,
111,0.09509911,0.34237614,0.13943663,-0.36606398,0.43688717,-2.087088,0.01234111,0.0,
112,-0.88252765,1.212168,0.13943663,-0.36606398,0.43688717,-2.087088,0.01234111,0.0,
113,-1.0780537,1.3861264,0.13943663,-0.36606398,0.1889942,-1.3101943,0.01234111,0.0,
114,-0.8222068,1.0573328,0.45938912,-0.36606398,0.12702215,-1.1159744,0.01234111,0.0,
115,-0.42859557,0.5514965,0.9516259,-0.36606398,0.12702215,-1.1159744,0.01234111,0.0,
116,-0.15306792,0.19741088,1.2961888,-0.36606398,0.12702215,-1.1159744,0.01234111,0.0,
117,-0.17725039,0.19741088,1.3687719,-0.36606398,0.12702215,-1.1159744,0.01234111,0.0,
118,-0.23770702,0.19741088,1.5502211,-0.36606398,0.12702215,-1.1159744,0.01234111,0.0,
119,-0.29816368,0.19741088,1.731676,-0.36606398,0.12702215,-1.1159744,0.01234111,0.0,
120,-0.30723175,0.19741088,1.7588953,-0.36606398,-0.027910357,-1.3587528,0.01234111,0.0,
121,0.4635893,0.19741088,0.60020894,-0.36606398,-0.027910357,-1.3587528,0.01234111,0.0,
122,1.370438,0.19741088,-0.7629459,-0.36606398,-0.027910357,-1.3587528,0.01234111,0.0,
123,2.0052323,0.19741088,-1.7171582,-0.40976858,0.2044884,-1.2373637,0.01234111,0.0,
124,1.7206216,0.16693106,-1.7883412,-0.45347318,0.43688717,-1.1159744,0.01234111,0.0,
125,1.0090939,0.090731315,-1.9663044,-0.45347318,0.43688717,-1.1159744,0.01234111,0.0,
126,0.29756606,0.0145315705,-2.1442676,-0.45347318,0.43688717,-1.1159744,0.01234111,0.0,
127,0.22683676,-0.064389564,-2.2129092,-0.45347318,0.43688717,-1.1159744,0.01234111,0.0,
128,0.94260025,-0.70120156,-2.5434098,-0.45347318,0.43688717,-1.1159744,0.01234111,0.0,
129,1.6583627,-1.3380134,-2.873916,-0.45347318,0.43688717,-1.1159744,0.01234111,0.0,
130,2.1593962,-1.7837818,-3.1052663,-0.54088235,1.2115496,-1.3587528,0.01234111,0.0,
131,2.1157165,-1.8960494,-2.2514806,-0.54088235,1.2115496,-1.3587528,0.01234111,0.0,
132,2.064329,-2.0281289,-1.2470354,-0.54088235,1.2115496,-1.3587528,0.01234111,0.0,
133,2.0129404,-2.1602085,-0.24258453,-0.54088235,1.2115496,-1.3587528,0.01234111,0.0,
134,2.0052323,-2.1800203,-0.091913804,-0.54088235,1.6763473,-1.1159744,0.01234111,0.0,
135,2.0052323,-2.1800203,-0.091913804,-0.54088235,1.6763473,-1.1159744,0.01234111,0.0,
136,2.0052323,-2.1800203,-0.091913804,-0.54088235,1.6763473,-1.1159744,0.01234111,0.0,
137,0.77191794,-0.7931855,-1.0173211,-0.54518104,1.6763473,-1.0801593,0.01234111,0.0,
138,0.77191794,-0.7931855,-1.0173211,-0.5738402,1.6763473,-0.84135216,0.01234111,0.0,
139,0.77191794,-0.7931855,-1.0173211,-0.60249865,1.6763473,-0.60255986,0.01234111,0.0,
140,0.77191794,-0.7931855,-1.0173211,-0.62829155,1.6763473,-0.3876393,0.01234111,0.0,
141,1.2344112,-0.59506625,-0.78597075,-0.6681622,1.6410112,-0.49837437,0.01234111,0.0,
142,1.2344112,-0.59506625,-0.78597075,-0.72950244,1.5866492,-0.6687519,0.01234111,0.0,
143,1.2344112,-0.59506625,-0.78597075,-0.790842,1.5322871,-0.83911467,0.01234111,0.0,
144,1.5427399,-0.00070840935,-0.32326987,-0.80310994,1.5214148,-0.87319607,0.01234111,0.0,
145,1.5427399,-0.00070840935,-0.32326987,-0.80310994,1.5214148,-0.87319607,0.01234111,0.0,
146,1.5427399,-0.00070840935,-0.32326987,-0.80310994,1.5214148,-0.87319607,0.01234111,0.0,
147,0.7205303,0.65968907,0.447902,-0.80310994,1.5214148,-0.87319607,0.01234111,0.0,
148,0.30942547,0.98988783,0.8334879,-0.9067063,1.5214148,-0.729328,0.01234111,0.0,
149,0.30942547,0.98988783,0.8334879,-1.0362009,1.5214148,-0.54949653,0.01234111,0.0,
150,0.30942547,0.98988783,0.8334879,-1.1527467,1.5214148,-0.3876393,0.01234111,0.0,
151,0.1552607,0.79176855,1.5275393,-1.1767416,1.4788848,-0.42096505,0.01234111,0.0,
152,0.1552607,0.79176855,1.5275393,-1.2452976,1.3573687,-0.5161708,0.01234111,0.0,
153,0.1552607,0.79176855,1.5275393,-1.313854,1.2358525,-0.6113766,0.01234111,0.0,
154,0.96462363,-0.09976805,0.6599723,-1.3275651,1.2115496,-0.6304177,0.01234111,0.0,
155,1.2344112,-0.39694697,0.37078705,-1.3275651,1.2115496,-0.6304177,0.01234111,0.0,
156,1.2344112,-0.39694697,0.37078705,-1.3275651,1.2115496,-0.6304177,0.01234111,0.0,
157,0.4495746,0.25144333,-0.049850605,-1.3275651,1.2115496,-0.6304177,0.01234111,0.0,
158,-0.923889,1.3861264,-0.78597075,-1.3275651,1.2115496,-0.56421083,0.01234111,0.0,
159,-0.923889,1.3861264,-0.78597075,-1.3275651,1.2115496,-0.34349644,0.01234111,0.0,
160,-0.923889,1.3861264,-0.78597075,-1.3275651,1.2115496,-0.14486094,0.01234111,0.0,
161,0.7158581,0.5756387,-0.78597075,-1.3275651,1.2115496,-0.14486094,0.01234111,0.0,
162,1.0802466,0.39553016,-0.78597075,-1.4674196,1.0876032,-0.24197821,0.01234111,0.0,
163,1.0802466,0.39553016,-0.78597075,-1.642238,0.9326707,-0.3633674,0.01234111,0.0,
164,1.1513993,-0.6103061,-0.57241607,-1.6772017,0.9016847,-0.3876393,0.01234111,0.0,
165,1.2344112,-1.7837818,-0.32326987,-1.6772017,0.9016847,-0.3876393,0.01234111,0.0,
166,1.2344112,-1.7837818,-0.32326987,-1.6772017,0.9016847,-0.3876393,0.01234111,0.0,
167,1.340123,-1.8743507,-0.80051094,-1.6772017,0.9016847,-0.3876393,0.01234111,0.0,
168,1.6044049,-2.1007726,-1.9936249,-1.6772017,0.9016847,-0.3876393,0.01234111,0.0,
169,1.6969037,-2.1800203,-2.4112096,-1.6061819,0.9016847,-0.2890106,0.01234111,0.0,
170,1.6969037,-2.1800203,-2.4112096,-1.5023835,0.9016847,-0.14486094,0.01234111,0.0,
171,1.4432787,-2.0713744,-1.5199486,-1.5023835,0.9016847,-0.14486094,0.01234111,0.0,
172,1.2344112,-1.981901,-0.78597075,-1.519865,0.8397126,-0.14486094,0.01234111,0.0,
173,1.2344112,-1.981901,-0.78597075,-1.5781382,0.63313437,-0.14486094,0.01234111,0.0,
174,1.3313144,-1.7328368,-0.64054596,-1.5897926,0.59181964,-0.14486094,0.01234111,0.0,
175,1.5075017,-1.2799928,-0.37614545,-1.5897926,0.59181964,-0.14486094,0.01234111,0.0,
176,1.5427399,-1.189424,-0.32326987,-1.5897926,0.59181964,-0.14486094,0.01234111,0.0,
177,1.5164189,-1.1217735,-0.44176203,-1.5897926,0.59181964,-0.14486094,0.01234111,0.0,
178,1.441217,-0.92848647,-0.7803256,-1.5897926,0.59181964,-0.14486094,0.01234111,0.0,
179,1.3885751,-0.7931855,-1.0173211,-1.6946833,0.66618663,-0.31965426,0.01234111,0.0,
180,1.3885751,-0.7931855,-1.0173211,-2.0268385,0.9016847,-0.87319607,0.01234111,0.0,
181,1.3885751,-1.1328185,-0.7198706,-2.0268385,0.9016847,-0.87319607,0.01234111,0.0,
182,1.3885751,-1.5101885,-0.38937,-2.0268385,0.9016847,-0.87319607,0.01234111,0.0,
183,1.3885751,-1.5856625,-0.32326987,-2.130435,0.9016847,-0.87319607,0.01234111,0.0,
184,1.3885751,-1.5856625,-0.35796738,-2.2016568,0.9016847,-0.87319607,0.01234111,0.0,
185,1.3885751,-1.5856625,-0.47364822,-2.2016568,0.9016847,-0.87319607,0.01234111,0.0,
186,1.3885751,-1.5856625,-0.5546203,-2.2016568,0.9016847,-0.87319607,0.01234111,0.0,
187,1.4082558,-1.5603708,-0.5693854,-2.2016568,0.9016847,-0.87319607,0.01234111,0.0,
188,1.5394596,-1.3917587,-0.6678328,-2.2016568,0.9016847,-0.87319607,0.01234111,0.0,
189,1.6706634,-1.2231464,-0.7662801,-2.2016568,0.9016847,-0.87319607,0.01234111,0.0,
190,1.6969037,-1.189424,-0.78597075,-2.2016568,1.3974682,-0.87319607,0.01234111,0.0,
191,1.6542629,-1.2990221,-0.78597075,-2.2016568,1.5214148,-0.87319607,0.01234111,0.0,
192,1.5886611,-1.467634,-0.78597075,-2.2016568,1.5214148,-0.87319607,0.01234111,0.0,
193,1.5427399,-1.5856625,-0.78597075,-2.2715845,1.8932518,-0.3876393,0.01234111,0.0,
194,1.5612395,-1.5143397,-0.95323396,-2.3764753,2.4510098,0.34069583,0.01234111,0.0,
195,1.6229044,-1.2765965,-1.5107949,-2.3764753,2.4510098,0.34069583,0.01234111,0.0,
196,1.6845703,-1.0388534,-2.0683503,-2.3764753,2.4510098,0.34069583,0.01234111,0.0,
197,1.7455871,-1.0851507,-2.143025,-2.3764753,2.4510098,0.34069583,0.01234111,0.0,
198,2.070144,-1.7107905,-1.8974717,-2.3764753,2.4510098,0.34069583,0.01234111,0.0,
199,2.3946996,-2.3364303,-1.6519127,-2.3764753,2.4510098,0.34069583,0.01234111,0.0,
200,2.6218896,-2.774378,-1.4800221,-2.5512936,3.0707397,-0.14486094,0.01234111,0.0,
201,2.1401258,-2.4029045,-1.2631332,-2.5512936,3.0707397,-0.14486094,0.01234111,0.0,
202,1.6583627,-2.031431,-1.0462385,-2.5512936,3.0707397,-0.14486094,0.01234111,0.0,
203,1.1765989,-1.6599573,-0.82934964,-2.5512936,3.0707397,-0.14486094,0.01234111,0.0,
204,1.0802466,-1.5856625,-0.78597075,-2.1142478,3.2256722,0.09791745,0.01234111,0.0,
205,1.0802466,-1.5856625,-0.78597075,-2.1142478,3.2256722,0.09791745,0.01234111,0.0,
206,1.0802466,-1.5856625,-0.78597075,-2.1142478,3.2256722,0.09791745,0.01234111,0.0,
207,-0.61556035,0.79176855,1.0648384,-2.105507,3.2205067,0.11409873,0.01234111,0.0,
208,-0.61556035,0.79176855,1.0648384,-2.0180979,3.1688633,0.27595592,0.01234111,0.0,
209,-0.61556035,0.79176855,1.0648384,-1.9306886,3.11722,0.43781313,0.01234111,0.0,
210,-0.61556035,0.79176855,1.0648384,-1.8520201,3.0707397,0.5834742,0.01234111,0.0,
211,-1.694711,2.7779145,-0.091913804,-1.7864633,2.838341,0.765558,0.01234111,0.0,
212,-1.694711,2.7779145,-0.091913804,-1.6990541,2.528476,1.0083364,0.01234111,0.0,
213,-1.694711,2.7779145,-0.091913804,-1.6116449,2.218611,1.2511148,0.01234111,0.0,
214,0.1552607,3.174153,1.9902457,-1.5897926,2.1411448,1.3118094,0.01234111,0.0,
215,0.1552607,3.174153,1.9902457,-1.5897926,2.1411448,1.3118094,0.01234111,0.0,
216,0.1552607,3.174153,1.9902457,-1.5897926,2.1411448,1.3118094,0.01234111,0.0,
217,-0.05029171,1.0575786,-0.6355924,-1.5897926,2.1411448,1.3118094,0.01234111,0.0,
218,-0.15306792,-0.00070840935,-1.9485086,-1.4861963,2.0034275,1.2398679,0.01234111,0.0,
219,-0.15306792,-0.00070840935,-1.9485086,-1.3567016,1.8312798,1.1499522,0.01234111,0.0,
220,-0.15306792,-0.00070840935,-1.9485086,-1.2401558,1.6763473,1.069031,0.01234111,0.0,
221,-0.9855549,-1.9620891,0.13885748,-1.2401558,1.6763473,1.069031,0.01234111,0.0,
222,-1.0780537,-2.1800203,0.37078705,-0.9840269,1.546637,1.4755485,0.01234111,0.0,
223,-1.0780537,-2.1800203,0.37078705,-0.69943887,1.4025131,1.9272313,0.01234111,0.0,
224,-0.05029171,-0.1988277,1.141959,-0.62829155,1.3664823,2.0401444,0.01234111,0.0,
225,0.4635893,0.79176855,1.5275393,-0.62829155,1.3664823,2.0401444,0.01234111,0.0,
226,0.4635893,0.79176855,1.5275393,-0.62829155,1.3664823,2.0401444,0.01234111,0.0,
227,-0.3212474,2.0903504,1.779924,-0.62829155,1.3664823,2.0401444,0.01234111,0.0,
228,-1.694711,4.362869,2.2215962,-0.6044526,1.1974645,1.9739376,0.01234111,0.0,
229,-1.694711,4.362869,2.2215962,-0.52498996,0.6340729,1.7532233,0.01234111,0.0,
230,-1.694711,4.362869,2.2215962,-0.45347318,0.12702215,1.5545877,0.01234111,0.0,
231,-0.24690717,0.7928453,0.5920785,-0.45347318,0.12702215,1.5545877,0.01234111,0.0,
232,0.1552607,-0.1988277,0.13943663,-0.3879163,0.06892246,1.0083364,0.01234111,0.0,
233,0.1552607,-0.1988277,0.13943663,-0.3005071,-0.008543794,0.28000125,0.01234111,0.0,
234,0.08742857,-0.98338,-0.7792629,-0.27865478,-0.027910357,0.09791745,0.01234111,0.0,
235,0.0010968614,-1.981901,-1.9485086,-0.27865478,-0.027910357,0.09791745,0.01234111,0.0,
236,0.0010968614,-1.981901,-1.9485086,-0.27865478,-0.027910357,0.09791745,0.01234111,0.0,
237,0.0010968614,-1.2826567,-1.1306124,-0.27865478,-0.027910357,0.09791745,0.01234111,0.0,
238,0.0010968614,0.46545458,0.91412264,-0.27865478,-0.027910357,0.09791745,0.01234111,0.0,
239,0.0010968614,0.98988783,1.5275393,-0.05615856,-0.48801282,0.2009175,0.01234111,0.0,
240,0.0010968614,0.98988783,1.5275393,0.24580033,-1.1124378,0.34069583,0.01234111,0.0,
241,-0.33706993,1.9704185,1.1469294,0.24580033,-1.1124378,0.34069583,0.01234111,0.0,
242,-0.61556035,2.7779145,0.8334879,0.294968,-1.2286373,0.6138215,0.01234111,0.0,
243,-0.61556035,2.7779145,0.8334879,0.45886022,-1.6159686,1.5242405,0.01234111,0.0,
244,-0.6609035,2.4865625,0.96957904,0.5080279,-1.732168,1.7973661,0.01234111,0.0,
245,-0.75158805,1.9038587,1.2417557,0.5080279,-1.732168,1.7973661,0.01234111,0.0,
246,-0.76972514,1.7873181,1.2961888,0.5080279,-1.732168,1.7973661,0.01234111,0.0,
247,-0.6118005,1.4820452,1.1381973,0.5080279,-1.732168,1.7973661,0.01234111,0.0,
248,-0.16058764,0.60983706,0.68677557,0.5080279,-1.732168,1.7973661,0.01234111,0.0,
249,0.1552607,-0.00070840935,0.37078705,0.52900624,-1.8809018,1.5642936,0.01234111,0.0,
250,0.1552607,-0.00070840935,0.37078705,0.59543705,-2.351898,0.82625264,0.01234111,0.0,
251,0.21918215,-0.00070840935,0.37078705,0.59543705,-2.351898,0.82625264,0.01234111,0.0,
252,0.29438508,-0.00070840935,0.37078705,0.59543705,-2.351898,0.82625264,0.01234111,0.0,
253,0.30942547,-0.00070840935,0.37078705,0.6590073,-2.8026102,0.11998148,0.01234111,0.0,
254,0.4846114,-0.045735437,0.0027269956,0.68284625,-2.971628,-0.14486094,0.01234111,0.0,
255,0.8349851,-0.13578965,-0.73338753,0.68284625,-2.971628,-0.14486094,0.01234111,0.0,
256,1.0802466,-0.1988277,-1.2486717,0.68284625,-2.971628,-0.14486094,0.01234111,0.0,
257,1.0113643,-0.17353591,-1.1600696,0.68284625,-2.971628,-0.14486094,0.01234111,0.0,
258,0.5521522,-0.0049236557,-0.5693854,0.68284625,-2.971628,-0.14486094,0.01234111,0.0,
259,0.09293911,0.16368845,0.021298679,0.68284625,-2.971628,-0.14486094,0.01234111,0.0,
260,0.0010968614,0.19741088,0.13943663,0.5356307,-2.71069,-0.34930512,0.01234111,0.0,
261,-0.08418576,0.19741088,0.45938912,0.5080279,-2.661763,-0.3876393,0.01234111,0.0,
262,-0.2153895,0.19741088,0.9516259,0.5080279,-2.661763,-0.3876393,0.01234111,0.0,
263,-0.30723175,0.19741088,1.2961888,0.3769141,-2.661763,-0.4786812,0.01234111,0.0,
264,-0.18027307,0.22460368,1.1374214,0.15839115,-2.661763,-0.6304177,0.01234111,0.0,
265,0.18246587,0.3022976,0.6837899,0.15839115,-2.661763,-0.6304177,0.01234111,0.0,
266,0.5452057,0.37999135,0.23015843,0.15839115,-2.661763,-0.6304177,0.01234111,0.0,
267,0.60152596,0.40595752,0.10290613,0.15839115,-2.661763,-0.6304177,0.01234111,0.0,
268,0.49334037,0.475473,-0.140623,0.15839115,-2.661763,-0.6304177,0.01234111,0.0,
269,0.3851548,0.54498845,-0.38414654,0.15839115,-2.661763,-0.6304177,0.01234111,0.0,
